---
title: Japanese Geiger Counter Readings During the Fukushima Nuclear Disaster
revision: 2015-06-10
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
license: cc-by
description: During the disaster private individuals streamed their Geiger counter readings via webcam to the internet. This dataset contains readings from some of these web-streams over time. Note that these are not official readings but readings provided by private individuals.
---

Source,Time,Value,Unit
tokyo1,2011-03-16 00:44 CET,12.2,cpm
tokyo1,2011-03-16 01:46 CET,13.3,cpm
tokyo1,2011-03-16 12:42 CET,31,cpm
tokyo1,2011-03-16 14:18 CET,17.2,cpm
tokyo1,2011-03-16 15:16 CET,16.7,cpm
tokyo1,2011-03-16 16:06 CET,16.3,cpm
tokyo1,2011-03-16 18:10 CET,13,cpm
tokyo1,2011-03-16 18:36 CET,13.7,cpm
tokyo1,2011-03-16 19:56 CET,16.5,cpm
tokyo1,2011-03-16 21:48 CET,18.3,cpm
tokyo1,2011-03-17 10:43 CET,15,cpm
tokyo1,2011-03-17 12:00 CET,14.9,cpm
tokyo1,2011-03-17 16:11 CET,13.6,cpm
tokyo1,2011-03-17 16:54 CET,14,cpm
tokyo1,2011-03-17 17:18 CET,14.2,cpm
tokyo1,2011-03-17 17:18 CET,14.2,cpm
tokyo1,2011-03-17 18:18 CET,14.1,cpm
tokyo1,2011-03-17 19:25 CET,14,cpm
tokyo1,2011-03-17 20:20 CET,13.9,cpm
tokyo1,2011-03-17 21:16 CET,13.7,cpm
tokyo1,2011-03-17 21:47 CET,13.7,cpm
tokyo1,2011-03-17 22:32 CET,13.7,cpm
tokyo1,2011-03-17 22:46 CET,13.7,cpm
tokyo1,2011-03-17 23:39 CET,13.7,cpm
tokyo1,2011-03-18 01:21 CET,13.5,cpm
tokyo1,2011-03-18 01:42 CET,13.5,cpm
tokyo1,2011-03-18 02:46 CET,13.2,cpm
tokyo1,2011-03-18 03:01 CET,13.3,cpm
tokyo1,2011-03-18 03:16 CET,13.4,cpm
tokyo1,2011-03-18 03:31 CET,13.4,cpm
tokyo1,2011-03-18 03:46 CET,13.4,cpm
tokyo1,2011-03-18 04:01 CET,13.4,cpm
tokyo1,2011-03-18 04:16 CET,13.3,cpm
tokyo1,2011-03-18 04:31 CET,13.4,cpm
tokyo1,2011-03-18 04:46 CET,13.5,cpm
tokyo1,2011-03-18 05:01 CET,13.5,cpm
tokyo1,2011-03-18 05:16 CET,13.5,cpm
tokyo1,2011-03-18 05:31 CET,13.5,cpm
tokyo1,2011-03-18 05:46 CET,13.5,cpm
tokyo1,2011-03-18 06:01 CET,13.6,cpm
tokyo1,2011-03-18 06:16 CET,13.6,cpm
tokyo1,2011-03-18 06:31 CET,13.5,cpm
tokyo1,2011-03-18 06:46 CET,13.5,cpm
tokyo1,2011-03-18 07:01 CET,13.6,cpm
tokyo1,2011-03-18 07:16 CET,13.6,cpm
tokyo1,2011-03-18 07:31 CET,13.5,cpm
tokyo1,2011-03-18 07:46 CET,13.5,cpm
tokyo1,2011-03-18 08:01 CET,13.5,cpm
tokyo1,2011-03-18 08:16 CET,13.5,cpm
tokyo1,2011-03-18 08:31 CET,13.5,cpm
tokyo1,2011-03-18 08:46 CET,13.6,cpm
tokyo1,2011-03-18 09:01 CET,13.6,cpm
tokyo1,2011-03-18 09:16 CET,13.6,cpm
tokyo1,2011-03-18 09:31 CET,13.6,cpm
tokyo1,2011-03-18 09:46 CET,13.5,cpm
tokyo1,2011-03-18 10:01 CET,13.5,cpm
tokyo1,2011-03-18 10:16 CET,13.5,cpm
tokyo1,2011-03-18 10:31 CET,13.5,cpm
tokyo1,2011-03-18 10:45 CET,13.5,cpm
tokyo1,2011-03-18 10:49 CET,13.5,cpm
tokyo1,2011-03-18 11:20 CET,12.6,cpm
tokyo1,2011-03-18 12:20 CET,13.2,cpm
tokyo2,2011-03-18 16:53 CET,22.1,cpm
tokyo2,2011-03-18 17:43 CET,22.1,cpm
tokyo2,2011-03-18 18:13 CET,22.1,cpm
tokyo2,2011-03-19 13:19 CET,21.7,cpm
tokyo2,2011-03-19 13:47 CET,21.7,cpm
tokyo2,2011-03-19 14:17 CET,21.7,cpm
tokyo2,2011-03-19 14:47 CET,21.7,cpm
tokyo2,2011-03-19 15:22 CET,21.5,cpm
tokyo2,2011-03-19 15:48 CET,21.5,cpm
tokyo2,2011-03-19 16:18 CET,21,cpm
tokyo2,2011-03-19 16:47 CET,21.3,cpm
tokyo2,2011-03-19 17:17 CET,20.8,cpm
tokyo2,2011-03-19 17:48 CET,20.9,cpm
tokyo2,2011-03-19 18:18 CET,21.1,cpm
tokyo2,2011-03-19 18:48 CET,20.9,cpm
tokyo2,2011-03-19 19:17 CET,21,cpm
tokyo2,2011-03-19 19:48 CET,21.2,cpm
tokyo2,2011-03-19 20:18 CET,21.1,cpm
tokyo2,2011-03-19 20:48 CET,21.2,cpm
tokyo2,2011-03-19 21:18 CET,21.2,cpm
tokyo2,2011-03-19 21:48 CET,21.2,cpm
tokyo2,2011-03-19 22:18 CET,21.2,cpm
tokyo2,2011-03-19 22:49 CET,21.2,cpm
tokyo2,2011-03-19 23:19 CET,21.4,cpm
tokyo2,2011-03-19 23:49 CET,21.5,cpm
tokyo2,2011-03-20 00:18 CET,21.4,cpm
tokyo2,2011-03-20 00:49 CET,21.5,cpm
tokyo2,2011-03-20 01:19 CET,21.4,cpm
tokyo2,2011-03-20 01:49 CET,21.4,cpm
tokyo2,2011-03-20 02:19 CET,21.4,cpm
tokyo2,2011-03-20 02:49 CET,21.4,cpm
tokyo2,2011-03-20 03:19 CET,21.4,cpm
tokyo2,2011-03-20 03:49 CET,21.3,cpm
